BILL DATE,no. of BILL NUMBER,BILL NUMBERS,DISC.AMT,CASH SALES,CR.SALES,TOTAL SALES,month
30/12/23,4,4228-4231,-96.7,-281.0,0.0,-281.0,dec23
01/02/24,32,4743-4774,925.33,18323.0,0.0,18323.0,feb24
02/02/24,18,4775-4792,841.1,12481.0,0.0,12481.0,feb24
03/02/24,20,4793-4812,167.62,5794.0,0.0,5794.0,feb24
05/02/24,20,4813-4832,317.43,5961.0,0.0,5961.0,feb24
06/02/24,16,4833-4848,236.62,5372.0,0.0,5372.0,feb24
07/02/24,13,4849-4861,132.18,5211.0,0.0,5211.0,feb24
08/02/24,17,4862-4878,7.43,4749.0,0.0,4749.0,feb24
09/02/24,16,4879-4894,152.39,3838.0,0.0,3838.0,feb24
10/02/24,18,4895-4912,668.21,9785.0,0.0,9785.0,feb24
11/02/24,4,4913-4916,464.54,4181.0,0.0,4181.0,feb24
12/02/24,30,4917-4946,1018.68,12224.0,0.0,12224.0,feb24
13/02/24,16,4947-4962,471.27,7572.0,0.0,7572.0,feb24
14/02/24,13,4963-4975,,4268.0,0.0,4268.0,feb24
15/02/24,13,4976-4988,145.4,5303.0,0.0,5303.0,feb24
16/02/24,34,4989-5022,1346.54,18634.0,0.0,18634.0,feb24
17/02/24,19,5023-5041,131.01,7017.0,0.0,7017.0,feb24
19/02/24,25,5042-5066,435.53,9803.0,0.0,9803.0,feb24
20/02/24,14,5067-5080,284.33,3630.0,0.0,3630.0,feb24
21/02/24,7,5081-5087,66.78,1832.0,0.0,1832.0,feb24
22/02/24,22,5088-5109,288.07,6741.0,0.0,6741.0,feb24
23/02/24,24,5110-5133,243.24,7641.0,0.0,7641.0,feb24
24/02/24,13,5134-5146,596.27,7161.0,0.0,7161.0,feb24
26/02/24,27,5147-5173,238.23,6914.0,0.0,6914.0,feb24
27/02/24,24,5174-5197,409.35,8062.0,0.0,8062.0,feb24
28/02/24,13,5198-5210,943.85,11351.0,0.0,11351.0,feb24
29/02/24,16,5211-5226,225.85,6978.0,0.0,6978.0,feb24
01/01/24,7,4232-4238,338.39,7250.0,0.0,7250.0,jan24
02/01/24,31,4239-4269,884.18,13992.0,0.0,13992.0,jan24
03/01/24,33,4270-4302,397.96,12594.0,0.0,12594.0,jan24
04/01/24,23,4303-4325,811.32,11244.0,0.0,11244.0,jan24
05/01/24,21,4326-4346,344.15,8006.0,0.0,8006.0,jan24
06/01/24,16,4347-4362,146.9,4292.0,0.0,4292.0,jan24
08/01/24,25,4363-4387,507.25,10428.0,0.0,10428.0,jan24
